,server_timestamp,trade_price,trade_size,is_buyer_maker
340,1603659658319,407.48,0.006,True
341,1603659658319,407.48,0.011,True
342,1603659658320,407.48,0.006,True
343,1603659658320,407.48,0.083,True
344,1603659658320,407.48,0.058,True
345,1603659658320,407.48,0.083,True
346,1603659658320,407.48,0.595,True
347,1603659658320,407.48,0.18,True
348,1603659658320,407.48,0.011,True
349,1603659658320,407.48,0.005,True
350,1603659658321,407.46,0.555,True
351,1603659658448,407.47,1.008,False
352,1603659658448,407.47,0.051,False
353,1603659658449,407.48,1.0,False
354,1603659658974,407.48,0.766,True
355,1603659659622,407.49,0.001,False
356,1603659659622,407.49,0.001,False
357,1603659659623,407.49,0.016,False
358,1603659659623,407.49,0.014,False
359,1603659659624,407.49,0.037,False
360,1603659659624,407.49,0.003,False
361,1603659659624,407.49,0.307,False
362,1603659659624,407.49,0.001,False
363,1603659659645,407.53,3.459,True
364,1603659659853,407.55,0.771,True
365,1603659660472,407.56,0.006,False
366,1603659661407,407.56,0.13,True
367,1603659661587,407.57,0.21,False
368,1603659661587,407.57,1.0,False
369,1603659661587,407.57,1.007,False
370,1603659661607,407.61,4.816,True
371,1603659662096,407.65,0.324,True
372,1603659662096,407.65,0.355,True
373,1603659662096,407.65,3.352,True
374,1603659662167,407.66,0.01,False
375,1603659662168,407.66,0.756,False
376,1603659662169,407.66,0.002,False
377,1603659662264,407.67,0.01,False
378,1603659662265,407.67,0.01,False
379,1603659662267,407.67,0.292,False
380,1603659662300,407.7,0.01,True
381,1603659662726,407.71,0.475,False
382,1603659662728,407.71,0.568,False
383,1603659662829,407.7,0.127,True
384,1603659663010,407.7,0.203,True
385,1603659663010,407.7,0.022,True
386,1603659663011,407.7,0.014,True
387,1603659663011,407.7,0.124,True
388,1603659663011,407.7,0.006,True
389,1603659663011,407.7,0.012,True
390,1603659664885,407.7,0.002,False
391,1603659664900,407.7,0.002,False
392,1603659664900,407.7,0.002,False
393,1603659664906,407.7,0.965,False
394,1603659664906,407.7,0.174,False
395,1603659664906,407.7,0.125,False
396,1603659664906,407.7,0.132,False
397,1603659664906,407.7,0.003,False
398,1603659664906,407.7,0.238,False
399,1603659664909,407.7,1.0,False
400,1603659664909,407.7,0.128,False
401,1603659664966,407.71,0.4,False
402,1603659665016,407.71,0.57,False
403,1603659665067,407.71,0.002,False
404,1603659665073,407.71,0.002,False
405,1603659665091,407.71,0.002,False
406,1603659665100,407.71,0.002,False
407,1603659665208,407.7,0.004,True
408,1603659665208,407.7,0.129,True
409,1603659665406,407.7,0.327,True
410,1603659665430,407.71,0.002,False
411,1603659665609,407.7,0.135,True
412,1603659666279,407.7,0.004,True
413,1603659666874,407.7,0.132,True
414,1603659672971,407.7,0.17,True
415,1603659673593,407.71,0.001,False
416,1603659674145,407.71,0.001,False
417,1603659674146,407.7,0.218,True
418,1603659674146,407.7,3.528,True
419,1603659674188,407.71,0.2,False
420,1603659674189,407.71,0.385,False
421,1603659674189,407.71,0.815,False
422,1603659674189,407.71,0.2,False
423,1603659674192,407.71,0.463,False
424,1603659674193,407.71,0.737,False
425,1603659674196,407.71,0.177,False
